model,threshold,window,contemporaneous,mean_test_recall,std_test_recall,mean_test_precision,std_test_precision,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_test_f1,std_test_f1,mean_test_f1_macro,std_test_f1_macro,mean_test_f1_micro,std_test_f1_micro,mean_test_f1_weighted,std_test_f1_weighted,mean_test_precision_macro,std_test_precision_macro,mean_test_precision_micro,std_test_precision_micro,mean_test_precision_weighted,std_test_precision_weighted,mean_test_recall_macro,std_test_recall_macro,mean_test_recall_micro,std_test_recall_micro,mean_test_recall_weighted,std_test_recall_weighted,sensitivity_0,sensitivity_1,model_name
RUSBoostClassifier,0.1,2,False,0.6730362295607567,0.021691628619782,0.4309704389630949,0.0072639511524296,0.672456263993972,0.008236139115278,0.6726394961747582,0.004661839316288,0.731881842995067,0.0070157176230364,0.5252207650156135,0.005417654968652,0.6375316436783043,0.0053034548751803,0.672456263993972,0.008236139115278,0.6893650164658192,0.0070452483017079,0.6395781194666165,0.0037106524739693,0.672456263993972,0.008236139115278,0.7358542060495977,0.0038995065005908,0.6726394961747582,0.004661839316288,0.672456263993972,0.008236139115278,0.672456263993972,0.008236139115278,67.66,67.35,RUSBoostClassifier_560ff87c-ca76-480b-9854-848ee5a2a357
RUSBoostClassifier,0.1,2,True,0.7180506572619428,0.0122584213748763,0.4740374820127765,0.0099466974912136,0.7094193067931718,0.0086767188918397,0.7121448369969464,0.007417616276606,0.7803368071920407,0.0120428735485764,0.5709834122111997,0.0086942355501567,0.675626378360701,0.0079381783759172,0.7094193067931718,0.0086767188918397,0.7239209181114399,0.0078630385058661,0.6729108489114959,0.0065498098070034,0.7094193067931718,0.0086767188918397,0.7646942629066704,0.005399379921313,0.7121448369969464,0.007417616276606,0.7094193067931718,0.0086767188918397,0.7094193067931718,0.0086767188918397,71.15,71.75,RUSBoostClassifier_5f5788bb-6574-4f04-b058-b07a4f89bd37
RUSBoostClassifier,0.1,4,False,0.6732408326611652,0.0197781449930431,0.4190978114867404,0.0066293475516214,0.6760402414255855,0.0063770461495772,0.6751250951815966,0.0074181530343647,0.7349935380772641,0.0067612317497046,0.5164917610023756,0.0084002819364713,0.636422943524886,0.0058440103193275,0.6760402414255855,0.0063770461495772,0.6946913993695464,0.0056417782061673,0.6380408393421672,0.0054666911332283,0.6760402414255855,0.0063770461495772,0.7444143666064871,0.0055983379721509,0.6751250951815966,0.0074181530343647,0.6760402414255855,0.0063770461495772,0.6760402414255855,0.0063770461495772,68.83,65.64,RUSBoostClassifier_8151459a-b96a-4382-9d47-a7024be7f509
RUSBoostClassifier,0.1,4,True,0.7216808339020909,0.0159740865586488,0.4664470344704303,0.0091870901609556,0.7161159596650621,0.0074565422607688,0.7179355212401207,0.0076230353372787,0.7859162778167009,0.0104755535797338,0.5665526096279496,0.0089658242008244,0.6777284781195778,0.0071449347126723,0.7161159596650621,0.0074565422607688,0.7317433596143145,0.0066804509921382,0.6738360148294603,0.0062974256189757,0.7161159596650621,0.0074565422607688,0.7745960213482925,0.0055440253016848,0.7179355212401207,0.0076230353372787,0.7161159596650621,0.0074565422607688,0.7161159596650621,0.0074565422607688,72.38,69.94,RUSBoostClassifier_c89f4058-8fa5-429d-84de-ebdc0bfc545a
RUSBoostClassifier,0.1,8,False,0.6535301089226254,0.0285827762705699,0.425104540901252,0.015803006576911,0.6784157441905905,0.0145019635325365,0.6703652799543585,0.0144354157359965,0.7248630807964769,0.0177961218301636,0.5148531626537332,0.0165626663337403,0.6371003937619909,0.0135039243549595,0.6784157441905905,0.0145019635325365,0.6955132866882981,0.0129868717022091,0.63700677362898,0.0117877101733461,0.6784157441905905,0.0145019635325365,0.7382541948699352,0.0105012437735527,0.6703652799543585,0.0144354157359965,0.6784157441905905,0.0145019635325365,0.6784157441905905,0.0145019635325365,66.77,68.26,RUSBoostClassifier_cb629051-d6fd-4205-93d9-336caf3b62e1
RUSBoostClassifier,0.1,8,True,0.7087928212653084,0.0253090886680023,0.4809432211954826,0.0105153589280681,0.7240559559020984,0.0082458637713866,0.7191165261978402,0.0094275147006822,0.783243897609957,0.0167607117749953,0.5728124893830427,0.0109587574550101,0.6844636681433417,0.0078013541461382,0.7240559559020984,0.0082458637713866,0.7378134093879243,0.0072804369770926,0.6787437214020836,0.0072363166735791,0.7240559559020984,0.0082458637713866,0.7732525773590535,0.0069867626640169,0.7191165261978402,0.0094275147006822,0.7240559559020984,0.0082458637713866,0.7240559559020984,0.0082458637713866,72.54,68.06,RUSBoostClassifier_0dff13f9-513b-4773-a643-d3176be99d96
RUSBoostClassifier,0.1,12,False,0.6466853408029879,0.0338085204787232,0.4406402128901268,0.0283165169047889,0.6771428571428572,0.0263754291966239,0.6676600957534019,0.0238256802508679,0.7205165333099265,0.0295931882445184,0.5236024699289994,0.0269891909113504,0.6395659065176488,0.0244306497784665,0.6771428571428572,0.0263754291966239,0.6919972862145526,0.0240501922629404,0.6391824109566724,0.0205601371436785,0.6771428571428572,0.0263754291966239,0.7289511900380454,0.0175870810407324,0.6676600957534019,0.0238256802508679,0.6771428571428572,0.0263754291966239,0.6771428571428572,0.0263754291966239,65.41,57.4,RUSBoostClassifier_f6826f48-8b47-4c9e-bb46-5fee8d3db57c
RUSBoostClassifier,0.1,12,True,0.7053900348017994,0.0476182956243113,0.5038147915145941,0.0155080455170305,0.7292857142857142,0.0125559970223192,0.7218547951813672,0.0227561264685702,0.7889716828864902,0.0216083450420769,0.5875267045894004,0.0257954544407182,0.6929855343881607,0.0165447897242618,0.7292857142857142,0.0125559970223192,0.7406640936138731,0.0125758560168974,0.6866948688378448,0.0165457926698074,0.7292857142857142,0.0125559970223192,0.7693863595807562,0.0174774647983856,0.7218547951813672,0.0227561264685702,0.7292857142857142,0.0125559970223192,0.7292857142857142,0.0125559970223192,72.93,68.64,RUSBoostClassifier_ec21fd02-b8ef-4e5d-b78a-3ecc54f86d1a
RUSBoostClassifier,0.1,14,False,0.5770350404312667,0.0487374006582844,0.422158604837511,0.0389957765093196,0.6780531731338396,0.0296804184422432,0.6457525475661406,0.0326517739002013,0.6924191220289947,0.0326957260635851,0.4871338221021395,0.0405852245588133,0.6261611965121314,0.0312267744519036,0.6780531731338396,0.0296804184422432,0.6915684068256734,0.0276185503110913,0.6232060996194544,0.0287691736160961,0.6780531731338396,0.0296804184422432,0.7178150582688667,0.0246333587882937,0.6457525475661406,0.0326517739002013,0.6780531731338396,0.0296804184422432,0.6780531731338396,0.0296804184422432,70.08,65.35,RUSBoostClassifier_520ec739-69bf-42d6-b6f6-0f82b4f86702
RUSBoostClassifier,0.1,14,True,0.696513926325247,0.0638856448954211,0.4889908887758245,0.0148208787712917,0.7272716968300148,0.0115459533417021,0.7174595906814416,0.0260558898496845,0.779037828430926,0.0307674817763403,0.5737653398845898,0.0287359295558171,0.6865026150514294,0.016591640428945,0.7272716968300148,0.0115459533417021,0.7395469521387605,0.0115750662091187,0.6804925040898345,0.0171374875873914,0.7272716968300148,0.0115459533417021,0.7706308605728192,0.0195863511659022,0.7174595906814416,0.0260558898496845,0.7272716968300148,0.0115459533417021,0.7272716968300148,0.0115459533417021,75.2,68.5,RUSBoostClassifier_d40caf9b-2aef-4a4e-ac93-051d17c73719
